CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37-32\python.exe .\main.py
MEM 0.691406 1560014906.6069
MEM 11.421875 1560014906.7080
MEM 17.964844 1560014906.8090
MEM 24.261719 1560014906.9090
MEM 27.554688 1560014907.0099
MEM 30.394531 1560014907.1104
MEM 35.445312 1560014907.2114
MEM 38.390625 1560014907.3115
MEM 38.671875 1560014907.4115
MEM 41.500000 1560014907.5120
MEM 38.949219 1560014907.6120
MEM 46.898438 1560014907.7130
MEM 48.621094 1560014907.8130
MEM 81.937500 1560014907.9140
MEM 118.515625 1560014908.0140
MEM 130.226562 1560014908.1140
MEM 130.179688 1560014908.2150
MEM 132.140625 1560014908.3156
MEM 133.277344 1560014908.4165
MEM 133.847656 1560014908.5172
MEM 136.917969 1560014908.6172
MEM 137.972656 1560014908.7172
MEM 138.648438 1560014908.8182
MEM 139.738281 1560014908.9182
MEM 140.957031 1560014909.0193
MEM 143.515625 1560014909.1202
MEM 143.597656 1560014909.2212
MEM 144.320312 1560014909.3222
MEM 147.078125 1560014909.4222
MEM 149.832031 1560014909.5232
MEM 150.691406 1560014909.6233
MEM 154.488281 1560014909.7242
MEM 154.792969 1560014909.8242
MEM 156.277344 1560014909.9253
MEM 155.703125 1560014910.0262
MEM 156.152344 1560014910.1262
MEM 157.304688 1560014910.2271
MEM 158.921875 1560014910.3271
MEM 159.726562 1560014910.4281
MEM 162.031250 1560014910.5291
MEM 164.652344 1560014910.6301
MEM 166.722656 1560014910.7301
MEM 167.691406 1560014910.8311
MEM 168.578125 1560014910.9311
MEM 167.761719 1560014911.0321
MEM 169.738281 1560014911.1321
MEM 170.476562 1560014911.2331
MEM 174.179688 1560014911.3331
MEM 177.847656 1560014911.4331
MEM 181.687500 1560014911.5341
MEM 181.800781 1560014911.6341
MEM 182.230469 1560014911.7341
MEM 194.066406 1560014911.8351
MEM 194.132812 1560014911.9361
MEM 195.714844 1560014912.0361
MEM 196.753906 1560014912.1371
MEM 190.468750 1560014912.2371
MEM 191.984375 1560014912.3381
MEM 192.761719 1560014912.4387
MEM 193.859375 1560014912.5397
MEM 194.359375 1560014912.6397
MEM 194.359375 1560014912.7407
MEM 194.597656 1560014912.8417
MEM 195.304688 1560014912.9427
MEM 196.585938 1560014913.0429
MEM 196.800781 1560014913.1429
MEM 197.667969 1560014913.2430
MEM 197.914062 1560014913.3439
MEM 199.054688 1560014913.4449
MEM 199.261719 1560014913.5450
MEM 199.378906 1560014913.6459
MEM 199.570312 1560014913.7459
MEM 199.925781 1560014913.8459
MEM 201.253906 1560014913.9469
MEM 201.808594 1560014914.0470
MEM 201.820312 1560014914.1479
MEM 202.136719 1560014914.2489
MEM 202.648438 1560014914.3489
MEM 202.882812 1560014914.4499
MEM 203.367188 1560014914.5500
MEM 203.449219 1560014914.6509
MEM 204.386719 1560014914.7510
MEM 216.042969 1560014914.8510
MEM 222.937500 1560014914.9519
MEM 226.035156 1560014915.0519
MEM 226.664062 1560014915.1529
MEM 228.222656 1560014915.2529
MEM 228.816406 1560014915.3540
MEM 231.832031 1560014915.4546
MEM 235.210938 1560014915.5556
MEM 240.390625 1560014915.6566
MEM 240.996094 1560014915.7566
MEM 243.414062 1560014915.8576
MEM 244.207031 1560014915.9586
MEM 243.582031 1560014916.0586
MEM 247.039062 1560014916.1586
MEM 247.039062 1560014916.2596
MEM 249.035156 1560014916.3596
MEM 250.554688 1560014916.4598
MEM 242.062500 1560014916.5607
MEM 216.492188 1560014916.6617
MEM 218.257812 1560014916.7618
MEM 221.023438 1560014916.8627
MEM 223.644531 1560014916.9627
MEM 224.656250 1560014917.0637
MEM 230.652344 1560014917.1637
MEM 234.855469 1560014917.2637
MEM 237.695312 1560014917.3647
MEM 242.667969 1560014917.4657
MEM 244.113281 1560014917.5658
MEM 241.238281 1560014917.6667
MEM 248.628906 1560014917.7669
MEM 252.796875 1560014917.8670
MEM 254.660156 1560014917.9680
MEM 261.847656 1560014918.0681
MEM 265.875000 1560014918.1682
MEM 268.734375 1560014918.2691
MEM 269.792969 1560014918.3701
MEM 272.886719 1560014918.4711
MEM 236.613281 1560014918.5711
MEM 241.339844 1560014918.6711
MEM 250.945312 1560014918.7712
MEM 257.703125 1560014918.8721
MEM 255.570312 1560014918.9721
MEM 259.230469 1560014919.0731
MEM 261.816406 1560014919.1736
MEM 264.812500 1560014919.2736
MEM 270.535156 1560014919.3746
MEM 276.515625 1560014919.4746
MEM 290.253906 1560014919.5746
MEM 287.773438 1560014919.6749
MEM 289.554688 1560014919.7754
MEM 290.851562 1560014919.8755
MEM 292.851562 1560014919.9764
MEM 293.882812 1560014920.0764
MEM 295.902344 1560014920.1765
MEM 298.003906 1560014920.2773
MEM 298.613281 1560014920.3774
MEM 301.011719 1560014920.4774
MEM 301.382812 1560014920.5774
MEM 304.171875 1560014920.6784
MEM 304.582031 1560014920.7784
MEM 307.585938 1560014920.8794
MEM 308.000000 1560014920.9804
MEM 310.164062 1560014921.0814
MEM 310.515625 1560014921.1814
MEM 312.882812 1560014921.2814
MEM 313.644531 1560014921.3824
MEM 315.312500 1560014921.4824
MEM 315.992188 1560014921.5834
MEM 317.453125 1560014921.6834
MEM 319.226562 1560014921.7834
MEM 320.988281 1560014921.8841
MEM 322.480469 1560014921.9842
MEM 324.968750 1560014922.0848
MEM 326.453125 1560014922.1848
MEM 327.828125 1560014922.2857
MEM 331.691406 1560014922.3858
MEM 338.980469 1560014922.4868
MEM 345.527344 1560014922.5869
MEM 352.386719 1560014922.6878
MEM 353.937500 1560014922.7879
MEM 353.941406 1560014922.8879
MEM 353.941406 1560014922.9879
MEM 353.941406 1560014923.0881
MEM 353.941406 1560014923.1891
MEM 353.941406 1560014923.2901
MEM 353.941406 1560014923.3901
MEM 353.945312 1560014923.4911
MEM 353.945312 1560014923.5912
MEM 353.945312 1560014923.6921
MEM 354.007812 1560014923.7931
MEM 354.007812 1560014923.8941
MEM 354.007812 1560014923.9941
MEM 354.007812 1560014924.0951
MEM 354.007812 1560014924.1951
MEM 354.007812 1560014924.2951
MEM 354.007812 1560014924.3952
MEM 354.007812 1560014924.4961
MEM 354.007812 1560014924.5962
MEM 354.007812 1560014924.6962
MEM 354.011719 1560014924.7962
MEM 354.011719 1560014924.8963
MEM 354.011719 1560014924.9963
MEM 354.011719 1560014925.0963
MEM 354.011719 1560014925.1966
MEM 354.011719 1560014925.2967
MEM 354.011719 1560014925.3977
MEM 354.011719 1560014925.4977
MEM 354.011719 1560014925.5987
MEM 354.011719 1560014925.6997
MEM 354.011719 1560014925.8007
MEM 354.011719 1560014925.9007
MEM 354.011719 1560014926.0013
MEM 354.011719 1560014926.1013
MEM 354.011719 1560014926.2023
MEM 354.011719 1560014926.3033
MEM 354.074219 1560014926.4033
MEM 354.074219 1560014926.5033
MEM 354.074219 1560014926.6043
MEM 354.074219 1560014926.7053
MEM 354.074219 1560014926.8063
MEM 354.074219 1560014926.9063
MEM 354.332031 1560014927.0073
MEM 355.878906 1560014927.1073
MEM 355.878906 1560014927.2083
MEM 355.878906 1560014927.3083
MEM 355.878906 1560014927.4093
MEM 355.878906 1560014927.5093
MEM 355.878906 1560014927.6093
MEM 355.878906 1560014927.7103
MEM 356.582031 1560014927.8103
MEM 356.582031 1560014927.9103
MEM 356.582031 1560014928.0112
MEM 356.582031 1560014928.1121
