CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.511719 1560016615.8770
MEM 13.382812 1560016615.9770
MEM 21.320312 1560016616.0780
MEM 27.410156 1560016616.1781
MEM 32.339844 1560016616.2782
MEM 41.980469 1560016616.3792
MEM 47.875000 1560016616.4792
MEM 47.867188 1560016616.5792
MEM 47.867188 1560016616.6802
MEM 47.867188 1560016616.7812
MEM 47.867188 1560016616.8822
MEM 47.875000 1560016616.9831
MEM 48.187500 1560016617.0831
MEM 50.367188 1560016617.1837
MEM 51.105469 1560016617.2848
MEM 51.921875 1560016617.3857
MEM 56.015625 1560016617.4867
MEM 61.324219 1560016617.5867
MEM 63.628906 1560016617.6878
MEM 66.703125 1560016617.7888
MEM 73.222656 1560016617.8897
MEM 76.148438 1560016617.9907
MEM 76.285156 1560016618.0907
MEM 76.656250 1560016618.1907
MEM 76.808594 1560016618.2914
MEM 81.636719 1560016618.3934
MEM 85.152344 1560016618.4938
MEM 90.746094 1560016618.5940
MEM 130.558594 1560016618.6940
MEM 140.031250 1560016618.7950
MEM 140.640625 1560016618.8950
MEM 143.691406 1560016618.9960
MEM 143.550781 1560016619.0960
MEM 145.386719 1560016619.1960
MEM 147.488281 1560016619.2970
MEM 147.929688 1560016619.3980
MEM 148.757812 1560016619.4981
MEM 151.324219 1560016619.5990
MEM 154.894531 1560016619.7000
MEM 155.078125 1560016619.8010
MEM 157.394531 1560016619.9010
MEM 158.804688 1560016620.0020
MEM 159.027344 1560016620.1030
MEM 160.925781 1560016620.2031
MEM 161.976562 1560016620.3041
MEM 162.929688 1560016620.4050
MEM 164.933594 1560016620.5051
MEM 165.746094 1560016620.6051
MEM 169.093750 1560016620.7051
MEM 169.945312 1560016620.8061
MEM 182.554688 1560016620.9070
MEM 189.289062 1560016621.0081
MEM 177.691406 1560016621.1090
MEM 178.480469 1560016621.2100
MEM 179.375000 1560016621.3110
MEM 180.851562 1560016621.4110
MEM 181.285156 1560016621.5111
MEM 181.593750 1560016621.6112
MEM 182.398438 1560016621.7112
MEM 183.011719 1560016621.8122
MEM 184.066406 1560016621.9132
MEM 185.164062 1560016622.0132
MEM 185.996094 1560016622.1132
MEM 187.460938 1560016622.2132
MEM 188.046875 1560016622.3142
MEM 188.117188 1560016622.4152
MEM 188.441406 1560016622.5162
MEM 188.441406 1560016622.6162
MEM 188.441406 1560016622.7165
MEM 188.687500 1560016622.8165
MEM 189.488281 1560016622.9166
MEM 189.683594 1560016623.0176
MEM 189.753906 1560016623.1186
MEM 190.292969 1560016623.2195
MEM 191.277344 1560016623.3196
MEM 191.296875 1560016623.4203
MEM 192.542969 1560016623.5212
MEM 204.078125 1560016623.6218
MEM 193.855469 1560016623.7219
MEM 196.917969 1560016623.8229
MEM 199.753906 1560016623.9239
MEM 203.113281 1560016624.0239
MEM 207.093750 1560016624.1248
MEM 209.390625 1560016624.2249
MEM 212.015625 1560016624.3249
MEM 213.855469 1560016624.4258
MEM 217.617188 1560016624.5259
MEM 221.648438 1560016624.6269
MEM 224.066406 1560016624.7269
MEM 226.289062 1560016624.8279
MEM 229.628906 1560016624.9289
MEM 232.019531 1560016625.0289
MEM 236.339844 1560016625.1299
MEM 242.718750 1560016625.2309
MEM 242.320312 1560016625.3318
MEM 250.746094 1560016625.4319
MEM 255.386719 1560016625.5328
MEM 257.910156 1560016625.6328
MEM 264.058594 1560016625.7338
MEM 238.222656 1560016625.8338
MEM 243.382812 1560016625.9338
MEM 252.937500 1560016626.0339
MEM 249.531250 1560016626.1349
MEM 253.320312 1560016626.2359
MEM 256.445312 1560016626.3368
MEM 259.097656 1560016626.4368
MEM 274.156250 1560016626.5378
MEM 269.335938 1560016626.6379
MEM 270.707031 1560016626.7389
MEM 272.093750 1560016626.8399
MEM 274.207031 1560016626.9399
