CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.636719 1561745824.6317
MEM 12.332031 1561745824.7394
MEM 19.175781 1561745824.8499
MEM 25.210938 1561745824.9584
MEM 29.917969 1561745825.0656
MEM 39.781250 1561745825.1727
MEM 45.867188 1561745825.2794
MEM 47.375000 1561745825.3855
MEM 47.375000 1561745825.4934
MEM 47.375000 1561745825.5994
MEM 47.375000 1561745825.7075
MEM 47.375000 1561745825.8172
MEM 47.382812 1561745825.9239
MEM 48.234375 1561745826.0304
MEM 50.855469 1561745826.1384
MEM 53.753906 1561745826.2464
MEM 60.632812 1561745826.3552
MEM 64.781250 1561745826.4625
MEM 69.261719 1561745826.5693
MEM 73.300781 1561745826.6768
MEM 75.078125 1561745826.7852
MEM 77.238281 1561745826.8939
MEM 76.734375 1561745827.0004
MEM 80.656250 1561745827.1075
MEM 83.429688 1561745827.2135
MEM 98.597656 1561745827.3209
MEM 122.070312 1561745827.4295
MEM 123.472656 1561745827.5376
MEM 125.890625 1561745827.6448
MEM 126.796875 1561745827.7530
MEM 127.566406 1561745827.8587
MEM 128.902344 1561745827.9648
MEM 131.277344 1561745828.0733
MEM 134.449219 1561745828.1797
MEM 138.175781 1561745828.2867
MEM 140.421875 1561745828.3954
MEM 144.492188 1561745828.5027
MEM 145.433594 1561745828.6099
MEM 146.386719 1561745828.7178
MEM 147.019531 1561745828.8256
MEM 150.140625 1561745828.9337
MEM 152.718750 1561745829.0405
MEM 164.582031 1561745829.1490
MEM 175.339844 1561745829.2578
MEM 168.648438 1561745829.3656
MEM 169.207031 1561745829.4718
MEM 170.339844 1561745829.5779
MEM 171.566406 1561745829.6861
MEM 173.140625 1561745829.7941
MEM 173.457031 1561745829.9007
MEM 173.976562 1561745830.0076
MEM 174.601562 1561745830.1146
MEM 174.820312 1561745830.2223
MEM 174.914062 1561745830.3299
MEM 175.343750 1561745830.4367
MEM 175.718750 1561745830.5428
MEM 175.820312 1561745830.6490
MEM 176.175781 1561745830.7565
MEM 176.386719 1561745830.8629
MEM 177.472656 1561745830.9709
MEM 185.566406 1561745831.0794
MEM 181.910156 1561745831.1850
MEM 191.875000 1561745831.2928
MEM 184.445312 1561745831.3997
MEM 187.433594 1561745831.5076
MEM 189.609375 1561745831.6138
MEM 191.593750 1561745831.7217
MEM 195.984375 1561745831.8278
MEM 198.242188 1561745831.9357
MEM 204.269531 1561745832.0425
MEM 206.445312 1561745832.1490
MEM 209.339844 1561745832.2558
MEM 211.007812 1561745832.3632
MEM 217.050781 1561745832.4706
MEM 216.976562 1561745832.5767
MEM 223.828125 1561745832.6841
MEM 226.824219 1561745832.7929
MEM 234.425781 1561745832.9008
MEM 237.796875 1561745833.0078
MEM 242.214844 1561745833.1157
MEM 249.785156 1561745833.2249
MEM 256.195312 1561745833.3327
MEM 262.714844 1561745833.4427
MEM 270.316406 1561745833.5510
MEM 281.562500 1561745833.6579
MEM 293.769531 1561745833.7649
MEM 302.839844 1561745833.8727
MEM 318.589844 1561745833.9799
MEM 334.851562 1561745834.0871
MEM 333.070312 1561745834.1950
MEM 334.449219 1561745834.3028
MEM 335.621094 1561745834.4099
MEM 336.839844 1561745834.5177
MEM 338.140625 1561745834.6243
MEM 340.000000 1561745834.7320
MEM 341.531250 1561745834.8391
MEM 342.480469 1561745834.9468
MEM 344.324219 1561745835.0538
MEM 345.515625 1561745835.1608
MEM 346.750000 1561745835.2680
MEM 348.664062 1561745835.3753
MEM 350.156250 1561745835.4840
MEM 323.949219 1561745835.5900
MEM 324.984375 1561745835.7019
MEM 327.453125 1561745835.8111
MEM 337.140625 1561745835.9203
MEM 345.714844 1561745836.0287
MEM 351.656250 1561745836.1349
MEM 351.656250 1561745836.2411
MEM 351.656250 1561745836.3488
MEM 351.664062 1561745836.4562
MEM 351.664062 1561745836.5649
MEM 351.664062 1561745836.6715
MEM 351.664062 1561745836.7790
MEM 351.667969 1561745836.8861
MEM 351.667969 1561745836.9935
MEM 351.667969 1561745837.1014
MEM 351.671875 1561745837.2087
MEM 351.671875 1561745837.3160
MEM 351.675781 1561745837.4231
MEM 351.675781 1561745837.5302
MEM 351.675781 1561745837.6380
MEM 351.675781 1561745837.7459
MEM 351.675781 1561745837.8536
MEM 351.675781 1561745837.9610
MEM 351.675781 1561745838.0681
MEM 351.675781 1561745838.1761
MEM 351.675781 1561745838.2828
MEM 351.675781 1561745838.3890
MEM 351.675781 1561745838.4969
MEM 351.675781 1561745838.6041
MEM 351.675781 1561745838.7105
MEM 351.675781 1561745838.8172
MEM 351.675781 1561745838.9251
MEM 351.675781 1561745839.0320
MEM 351.675781 1561745839.1382
MEM 351.675781 1561745839.2452
MEM 351.675781 1561745839.3519
MEM 351.675781 1561745839.4586
MEM 351.675781 1561745839.5650
MEM 351.675781 1561745839.6711
MEM 351.675781 1561745839.7763
