CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.453125 1560018277.0816
MEM 13.183594 1560018277.1826
MEM 20.503906 1560018277.2826
MEM 26.632812 1560018277.3836
MEM 30.707031 1560018277.4836
MEM 39.324219 1560018277.5836
MEM 45.441406 1560018277.6846
MEM 48.277344 1560018277.7846
MEM 48.277344 1560018277.8846
MEM 48.277344 1560018277.9856
MEM 48.277344 1560018278.0856
MEM 48.277344 1560018278.1857
MEM 48.285156 1560018278.2864
MEM 48.285156 1560018278.3865
MEM 47.507812 1560018278.4870
MEM 52.332031 1560018278.5880
MEM 61.273438 1560018278.6880
MEM 65.753906 1560018278.7886
MEM 69.515625 1560018278.8893
MEM 75.113281 1560018278.9900
MEM 76.367188 1560018279.0900
MEM 79.320312 1560018279.1901
MEM 76.730469 1560018279.2905
MEM 81.175781 1560018279.3913
MEM 81.828125 1560018279.4913
MEM 90.796875 1560018279.5915
MEM 95.921875 1560018279.6925
MEM 96.554688 1560018279.7934
MEM 97.042969 1560018279.8934
MEM 98.246094 1560018279.9944
MEM 99.085938 1560018280.0944
MEM 100.625000 1560018280.1954
MEM 100.753906 1560018280.2955
MEM 101.222656 1560018280.3955
MEM 100.332031 1560018280.4956
MEM 102.039062 1560018280.5966
MEM 102.027344 1560018280.6976
MEM 102.769531 1560018280.7976
MEM 102.238281 1560018280.8976
MEM 102.597656 1560018280.9986
MEM 103.890625 1560018281.0988
MEM 105.070312 1560018281.1988
MEM 117.410156 1560018281.2989
MEM 117.593750 1560018281.3999
MEM 108.914062 1560018281.5009
MEM 109.136719 1560018281.6018
MEM 109.199219 1560018281.7019
MEM 109.371094 1560018281.8019
MEM 109.386719 1560018281.9024
MEM 111.046875 1560018282.0024
MEM 111.132812 1560018282.1030
MEM 111.535156 1560018282.2030
MEM 110.320312 1560018282.3030
MEM 110.496094 1560018282.4032
MEM 110.496094 1560018282.5042
MEM 110.496094 1560018282.6042
MEM 111.066406 1560018282.7047
MEM 111.074219 1560018282.8047
