CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.656250 1561744416.8753
MEM 14.351562 1561744416.9812
MEM 22.542969 1561744417.0892
MEM 29.058594 1561744417.1960
MEM 36.589844 1561744417.3029
MEM 44.125000 1561744417.4092
MEM 47.406250 1561744417.5192
MEM 47.406250 1561744417.6261
MEM 47.406250 1561744417.7331
MEM 47.406250 1561744417.8401
MEM 47.406250 1561744417.9512
MEM 47.414062 1561744418.0599
MEM 47.414062 1561744418.1705
MEM 50.152344 1561744418.2791
MEM 53.558594 1561744418.3860
MEM 61.082031 1561744418.4934
MEM 66.074219 1561744418.6024
MEM 69.281250 1561744418.7099
MEM 73.351562 1561744418.8164
MEM 75.113281 1561744418.9243
MEM 77.484375 1561744419.0343
MEM 76.542969 1561744419.1410
MEM 82.710938 1561744419.2489
MEM 83.441406 1561744419.3568
MEM 97.714844 1561744419.4642
MEM 120.175781 1561744419.5737
MEM 122.898438 1561744419.6810
MEM 125.078125 1561744419.7903
MEM 124.382812 1561744419.8979
MEM 128.453125 1561744420.0063
MEM 128.617188 1561744420.1133
MEM 130.675781 1561744420.2230
MEM 130.722656 1561744420.3326
MEM 134.570312 1561744420.4399
MEM 139.023438 1561744420.5471
MEM 143.312500 1561744420.6541
MEM 144.351562 1561744420.7619
MEM 146.035156 1561744420.8704
MEM 147.984375 1561744420.9790
MEM 149.953125 1561744421.0859
MEM 152.089844 1561744421.1957
MEM 164.042969 1561744421.3031
MEM 173.910156 1561744421.4114
MEM 167.632812 1561744421.5189
MEM 168.285156 1561744421.6253
MEM 169.878906 1561744421.7342
MEM 170.035156 1561744421.8421
MEM 171.210938 1561744421.9511
MEM 171.902344 1561744422.0600
MEM 175.628906 1561744422.1683
MEM 173.875000 1561744422.2760
MEM 174.355469 1561744422.3844
MEM 175.929688 1561744422.4932
MEM 176.578125 1561744422.6030
MEM 175.781250 1561744422.7112
MEM 175.820312 1561744422.8201
MEM 175.839844 1561744422.9280
MEM 176.078125 1561744423.0353
MEM 176.292969 1561744423.1430
MEM 176.808594 1561744423.2512
MEM 177.042969 1561744423.3590
MEM 185.234375 1561744423.4670
MEM 186.195312 1561744423.5761
MEM 191.500000 1561744423.6841
MEM 195.679688 1561744423.7920
MEM 188.628906 1561744423.9009
MEM 192.914062 1561744424.0089
MEM 194.910156 1561744424.1160
MEM 197.890625 1561744424.2232
MEM 199.699219 1561744424.3294
MEM 201.316406 1561744424.4364
MEM 201.316406 1561744424.5434
MEM 203.042969 1561744424.6516
MEM 205.628906 1561744424.7582
MEM 210.695312 1561744424.8656
MEM 216.093750 1561744424.9732
MEM 218.984375 1561744425.0803
MEM 225.683594 1561744425.1894
MEM 225.777344 1561744425.2982
MEM 228.636719 1561744425.4065
MEM 229.968750 1561744425.5159
MEM 232.117188 1561744425.6243
MEM 234.656250 1561744425.7325
MEM 237.371094 1561744425.8410
MEM 239.488281 1561744425.9481
MEM 239.687500 1561744426.0547
MEM 243.859375 1561744426.1622
MEM 244.234375 1561744426.2700
MEM 247.410156 1561744426.3788
MEM 250.214844 1561744426.4870
MEM 251.632812 1561744426.5971
MEM 252.175781 1561744426.7031
MEM 259.441406 1561744426.8156
MEM 264.406250 1561744426.9232
MEM 265.703125 1561744427.0319
MEM 271.683594 1561744427.1411
MEM 277.636719 1561744427.2482
MEM 292.601562 1561744427.3564
MEM 308.398438 1561744427.4633
MEM 322.566406 1561744427.5721
MEM 343.007812 1561744427.6795
MEM 343.648438 1561744427.7901
MEM 345.156250 1561744427.8958
MEM 346.609375 1561744428.0022
MEM 348.695312 1561744428.1124
MEM 349.679688 1561744428.2212
MEM 351.097656 1561744428.3282
MEM 352.730469 1561744428.4413
MEM 353.433594 1561744428.5515
MEM 355.093750 1561744428.6603
MEM 356.753906 1561744428.7684
MEM 357.562500 1561744428.8773
MEM 359.449219 1561744428.9841
MEM 360.730469 1561744429.0945
MEM 362.414062 1561744429.2038
MEM 363.664062 1561744429.3113
MEM 365.484375 1561744429.4202
MEM 341.609375 1561744429.5272
MEM 342.800781 1561744429.6334
MEM 348.488281 1561744429.7425
MEM 358.011719 1561744429.8503
MEM 366.929688 1561744429.9582
MEM 368.453125 1561744430.0687
MEM 368.464844 1561744430.1766
MEM 368.464844 1561744430.2842
MEM 368.464844 1561744430.3918
MEM 368.464844 1561744430.4996
MEM 368.464844 1561744430.6097
MEM 368.464844 1561744430.7161
MEM 368.464844 1561744430.8237
MEM 368.464844 1561744430.9309
MEM 368.464844 1561744431.0390
MEM 368.464844 1561744431.1464
MEM 368.468750 1561744431.2528
MEM 368.468750 1561744431.3586
MEM 368.468750 1561744431.4661
MEM 368.468750 1561744431.5734
MEM 368.468750 1561744431.6795
MEM 368.468750 1561744431.7872
MEM 368.468750 1561744431.8939
MEM 368.468750 1561744432.0008
MEM 368.468750 1561744432.1077
MEM 368.468750 1561744432.2173
MEM 368.468750 1561744432.3246
MEM 368.468750 1561744432.4338
MEM 368.468750 1561744432.5409
MEM 368.468750 1561744432.6478
MEM 368.468750 1561744432.7558
MEM 368.468750 1561744432.8624
MEM 368.468750 1561744432.9713
MEM 368.468750 1561744433.0793
MEM 368.468750 1561744433.1869
MEM 368.468750 1561744433.2944
MEM 368.468750 1561744433.4006
