CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.636719 1561745138.9113
MEM 12.519531 1561745139.0204
MEM 18.007812 1561745139.1314
MEM 24.843750 1561745139.2535
MEM 29.988281 1561745139.3634
MEM 37.835938 1561745139.4744
MEM 45.070312 1561745139.5824
MEM 47.363281 1561745139.6904
MEM 47.363281 1561745139.7984
MEM 47.363281 1561745139.9084
MEM 47.363281 1561745140.0224
MEM 47.363281 1561745140.1311
MEM 47.394531 1561745140.2391
MEM 47.394531 1561745140.3470
MEM 49.527344 1561745140.4556
MEM 51.820312 1561745140.5617
MEM 60.226562 1561745140.6698
MEM 64.027344 1561745140.7791
MEM 67.781250 1561745140.8870
MEM 72.625000 1561745140.9937
MEM 74.718750 1561745141.1015
MEM 76.031250 1561745141.2092
MEM 76.613281 1561745141.3162
MEM 83.050781 1561745141.4261
MEM 86.406250 1561745141.5348
MEM 93.121094 1561745141.6441
MEM 133.832031 1561745141.7526
MEM 163.484375 1561745141.8624
MEM 167.695312 1561745141.9711
MEM 169.582031 1561745142.0787
MEM 172.148438 1561745142.1863
MEM 172.531250 1561745142.2937
MEM 177.316406 1561745142.4014
MEM 176.492188 1561745142.5102
MEM 180.171875 1561745142.6174
MEM 183.582031 1561745142.7269
MEM 187.285156 1561745142.8342
MEM 191.640625 1561745142.9433
MEM 196.921875 1561745143.0505
MEM 200.648438 1561745143.1586
MEM 201.535156 1561745143.2673
MEM 202.062500 1561745143.3755
MEM 205.492188 1561745143.4825
MEM 207.574219 1561745143.5917
MEM 211.871094 1561745143.6985
MEM 212.980469 1561745143.8053
MEM 214.968750 1561745143.9125
MEM 216.691406 1561745144.0194
MEM 218.417969 1561745144.1265
MEM 231.218750 1561745144.2345
MEM 231.226562 1561745144.3414
MEM 236.648438 1561745144.4490
MEM 238.433594 1561745144.5564
MEM 240.496094 1561745144.6653
MEM 243.769531 1561745144.7723
MEM 244.019531 1561745144.8794
MEM 245.199219 1561745144.9866
MEM 246.859375 1561745145.0946
MEM 250.640625 1561745145.2025
MEM 250.656250 1561745145.3094
MEM 249.671875 1561745145.4164
MEM 251.292969 1561745145.5263
MEM 252.617188 1561745145.6326
MEM 253.054688 1561745145.7406
MEM 255.800781 1561745145.8487
MEM 255.910156 1561745145.9574
MEM 259.250000 1561745146.0656
MEM 258.250000 1561745146.1755
MEM 258.250000 1561745146.2855
MEM 258.378906 1561745146.3944
MEM 258.785156 1561745146.5025
MEM 258.785156 1561745146.6104
MEM 259.425781 1561745146.7188
MEM 259.656250 1561745146.8265
MEM 260.550781 1561745146.9347
MEM 265.125000 1561745147.0434
MEM 265.871094 1561745147.1510
MEM 266.277344 1561745147.2595
MEM 274.515625 1561745147.3677
MEM 278.261719 1561745147.4754
MEM 278.261719 1561745147.5841
MEM 279.808594 1561745147.6919
MEM 278.320312 1561745147.8000
MEM 282.214844 1561745147.9083
MEM 286.652344 1561745148.0198
MEM 288.257812 1561745148.1296
MEM 290.714844 1561745148.2386
MEM 294.585938 1561745148.3455
MEM 295.562500 1561745148.4532
MEM 300.476562 1561745148.5592
MEM 305.843750 1561745148.6675
MEM 309.585938 1561745148.7780
MEM 310.074219 1561745148.8855
MEM 313.554688 1561745148.9929
MEM 314.031250 1561745149.1014
MEM 284.761719 1561745149.2094
MEM 286.695312 1561745149.3165
MEM 287.714844 1561745149.4260
MEM 292.371094 1561745149.5348
MEM 293.820312 1561745149.6421
MEM 299.164062 1561745149.7494
MEM 304.304688 1561745149.8578
MEM 306.687500 1561745149.9658
MEM 310.449219 1561745150.0735
MEM 314.230469 1561745150.1815
MEM 319.562500 1561745150.2896
MEM 324.757812 1561745150.3966
MEM 327.265625 1561745150.5046
MEM 331.218750 1561745150.6116
MEM 337.847656 1561745150.7187
MEM 338.421875 1561745150.8288
MEM 345.242188 1561745150.9357
MEM 309.089844 1561745151.0445
MEM 311.972656 1561745151.1518
MEM 315.507812 1561745151.2597
MEM 318.625000 1561745151.3683
MEM 323.464844 1561745151.4769
MEM 328.105469 1561745151.5856
MEM 332.066406 1561745151.6955
MEM 334.187500 1561745151.8025
MEM 337.628906 1561745151.9096
MEM 342.761719 1561745152.0194
MEM 349.988281 1561745152.1281
MEM 351.195312 1561745152.2368
MEM 357.332031 1561745152.3445
MEM 359.484375 1561745152.4519
MEM 361.976562 1561745152.5596
MEM 362.972656 1561745152.6679
MEM 366.800781 1561745152.7777
MEM 367.902344 1561745152.8855
MEM 380.097656 1561745152.9941
MEM 396.871094 1561745153.1020
MEM 414.632812 1561745153.2091
MEM 434.402344 1561745153.3184
MEM 487.179688 1561745153.4256
MEM 484.070312 1561745153.5337
MEM 486.449219 1561745153.6417
MEM 487.957031 1561745153.7499
MEM 490.210938 1561745153.8577
MEM 492.882812 1561745153.9680
MEM 495.382812 1561745154.0763
MEM 497.601562 1561745154.1849
MEM 499.093750 1561745154.2926
MEM 501.761719 1561745154.4021
MEM 504.128906 1561745154.5085
MEM 505.730469 1561745154.6156
MEM 508.289062 1561745154.7250
MEM 509.527344 1561745154.8329
MEM 485.328125 1561745154.9431
MEM 486.390625 1561745155.0497
MEM 488.343750 1561745155.1576
MEM 490.550781 1561745155.2681
MEM 492.078125 1561745155.3762
MEM 493.824219 1561745155.4843
MEM 495.136719 1561745155.5919
MEM 495.761719 1561745155.7009
MEM 497.332031 1561745155.8076
MEM 500.398438 1561745155.9164
MEM 503.277344 1561745156.0238
MEM 503.929688 1561745156.1331
MEM 506.746094 1561745156.2413
MEM 507.984375 1561745156.3476
MEM 509.968750 1561745156.4572
MEM 512.511719 1561745156.5657
MEM 513.398438 1561745156.6746
MEM 520.132812 1561745156.7835
MEM 528.609375 1561745156.8929
MEM 536.144531 1561745157.0027
MEM 539.000000 1561745157.1099
MEM 539.003906 1561745157.2188
MEM 539.011719 1561745157.3266
MEM 539.015625 1561745157.4366
MEM 539.015625 1561745157.5447
MEM 539.015625 1561745157.6526
MEM 539.078125 1561745157.7601
MEM 539.082031 1561745157.8689
MEM 539.082031 1561745157.9758
MEM 544.871094 1561745158.0838
MEM 553.714844 1561745158.1901
MEM 562.097656 1561745158.2991
MEM 564.027344 1561745158.4051
MEM 564.027344 1561745158.5137
MEM 564.031250 1561745158.6220
MEM 564.031250 1561745158.7296
MEM 564.035156 1561745158.8371
MEM 563.222656 1561745158.9456
MEM 565.773438 1561745159.0531
MEM 563.253906 1561745159.1608
MEM 563.253906 1561745159.2689
MEM 563.253906 1561745159.3775
MEM 563.273438 1561745159.4851
MEM 568.675781 1561745159.5915
MEM 571.503906 1561745159.6989
MEM 574.988281 1561745159.8049
MEM 580.500000 1561745159.9119
MEM 587.054688 1561745160.0198
MEM 588.511719 1561745160.1281
MEM 595.156250 1561745160.2365
MEM 609.996094 1561745160.3434
MEM 616.457031 1561745160.4499
MEM 631.562500 1561745160.5600
MEM 641.039062 1561745160.6668
MEM 642.460938 1561745160.7744
MEM 645.750000 1561745160.8831
MEM 646.332031 1561745160.9909
MEM 649.214844 1561745161.0993
MEM 650.675781 1561745161.2069
MEM 653.523438 1561745161.3167
MEM 654.917969 1561745161.4251
MEM 656.757812 1561745161.5320
MEM 661.445312 1561745161.6390
MEM 666.175781 1561745161.7461
MEM 667.601562 1561745161.8536
MEM 668.855469 1561745161.9620
MEM 673.968750 1561745162.0714
MEM 676.984375 1561745162.1817
MEM 682.886719 1561745162.2920
MEM 684.632812 1561745162.3990
MEM 684.792969 1561745162.5081
MEM 684.894531 1561745162.6159
MEM 684.898438 1561745162.7233
MEM 684.898438 1561745162.8300
MEM 684.925781 1561745162.9378
MEM 685.125000 1561745163.0468
MEM 685.496094 1561745163.1544
MEM 685.628906 1561745163.2618
MEM 685.917969 1561745163.3689
MEM 686.328125 1561745163.4768
MEM 686.777344 1561745163.5833
MEM 687.277344 1561745163.6913
MEM 689.769531 1561745163.7982
MEM 718.453125 1561745163.9048
MEM 718.453125 1561745164.0111
MEM 734.957031 1561745164.1181
MEM 727.906250 1561745164.2271
MEM 729.515625 1561745164.3354
MEM 731.109375 1561745164.4432
MEM 733.644531 1561745164.5514
MEM 715.011719 1561745164.6588
MEM 716.613281 1561745164.7669
MEM 718.625000 1561745164.8739
MEM 739.011719 1561745164.9835
MEM 739.796875 1561745165.0911
MEM 751.453125 1561745165.1996
MEM 757.773438 1561745165.3159
MEM 769.203125 1561745165.4249
MEM 770.835938 1561745165.5339
MEM 772.089844 1561745165.6410
MEM 775.269531 1561745165.7488
MEM 777.500000 1561745165.8587
MEM 777.476562 1561745165.9650
MEM 780.156250 1561745166.0735
MEM 780.894531 1561745166.1870
MEM 781.671875 1561745166.2970
MEM 784.269531 1561745166.4051
MEM 785.914062 1561745166.5120
MEM 788.527344 1561745166.6200
MEM 789.382812 1561745166.7260
MEM 791.867188 1561745166.8340
MEM 792.316406 1561745166.9423
MEM 794.242188 1561745167.0491
MEM 796.859375 1561745167.1571
MEM 799.261719 1561745167.2650
MEM 800.421875 1561745167.3739
MEM 801.203125 1561745167.4814
