[2018-11-24 21:08:03,780]: Pygame parameters:
 

[2018-11-24 21:09:40,733]: Pygame parameters:
%s 

[2018-11-24 21:09:40,734]: FPS: 60
%s 

[2018-11-24 21:10:40,601]: ----Pygame parameters----%s 

[2018-11-24 21:10:40,601]: FPS: 60%s 

[2018-11-24 21:10:40,602]: RESOLUTION: (1280, 720)%s 

[2018-11-24 21:23:28,261]: ----Pygame parameters---- 

[2018-11-24 21:24:44,967]: ----Pygame parameters---- 

[2018-11-24 21:24:44,968]: FPS: 60 

[2018-11-24 21:24:44,968]: RESOLUTION: (1280, 720) 

[2018-11-24 21:26:53,586]: ----Pygame parameters---- 

[2018-11-24 21:26:53,586]: FPS: 60 

[2018-11-24 21:26:53,586]: RESOLUTION: (1280, 720) 

[2018-11-24 21:27:21,608]: ----Pygame parameters---- 

[2018-11-24 21:27:21,608]: FPS: 60 

[2018-11-24 21:27:21,609]: RESOLUTION: (1280, 720) 

[2018-11-24 21:27:21,622]: Received event <Event(17-VideoExpose {})> 

[2018-11-24 21:27:21,622]: Received event <Event(16-VideoResize {size: (1280, 720), w: 1280, h: 720})>" 

[2018-11-24 21:27:21,622]: Received event <Event(1-ActiveEvent {gain: 0, state: 1})>" 

[2018-11-24 21:27:21,622]: Received event <Event(4-MouseMotion {pos: (1178, 402), rel: (1179, 403), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,623]: Received event <Event(1-ActiveEvent {gain: 1, state: 1})>" 

[2018-11-24 21:27:21,623]: Received event <Event(1-ActiveEvent {gain: 0, state: 1})>" 

[2018-11-24 21:27:21,623]: Received event <Event(4-MouseMotion {pos: (948, 155), rel: (-230, -247), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,829]: Received event <Event(1-ActiveEvent {gain: 1, state: 1})>" 

[2018-11-24 21:27:21,830]: Received event <Event(4-MouseMotion {pos: (950, 147), rel: (2, -8), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,841]: Received event <Event(4-MouseMotion {pos: (952, 142), rel: (2, -5), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,851]: Received event <Event(4-MouseMotion {pos: (954, 136), rel: (2, -6), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,862]: Received event <Event(4-MouseMotion {pos: (956, 131), rel: (2, -5), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,873]: Received event <Event(4-MouseMotion {pos: (956, 123), rel: (0, -8), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,884]: Received event <Event(4-MouseMotion {pos: (956, 121), rel: (0, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,895]: Received event <Event(4-MouseMotion {pos: (955, 117), rel: (-1, -4), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,906]: Received event <Event(4-MouseMotion {pos: (955, 110), rel: (0, -7), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,917]: Received event <Event(4-MouseMotion {pos: (955, 106), rel: (0, -4), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,928]: Received event <Event(4-MouseMotion {pos: (955, 99), rel: (0, -7), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,939]: Received event <Event(4-MouseMotion {pos: (955, 93), rel: (0, -6), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,956]: Received event <Event(4-MouseMotion {pos: (955, 84), rel: (0, -9), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,972]: Received event <Event(4-MouseMotion {pos: (954, 76), rel: (-1, -8), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,983]: Received event <Event(4-MouseMotion {pos: (953, 73), rel: (-1, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:21,994]: Received event <Event(4-MouseMotion {pos: (952, 68), rel: (-1, -5), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,003]: Received event <Event(4-MouseMotion {pos: (951, 65), rel: (-1, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,014]: Received event <Event(4-MouseMotion {pos: (951, 62), rel: (0, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,024]: Received event <Event(4-MouseMotion {pos: (950, 59), rel: (-1, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,034]: Received event <Event(4-MouseMotion {pos: (950, 57), rel: (0, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,044]: Received event <Event(4-MouseMotion {pos: (950, 54), rel: (0, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,054]: Received event <Event(4-MouseMotion {pos: (949, 52), rel: (-1, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,065]: Received event <Event(4-MouseMotion {pos: (949, 50), rel: (0, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,075]: Received event <Event(4-MouseMotion {pos: (949, 48), rel: (0, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,085]: Received event <Event(4-MouseMotion {pos: (949, 46), rel: (0, -2), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,095]: Received event <Event(4-MouseMotion {pos: (948, 45), rel: (-1, -1), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:22,105]: Received event <Event(4-MouseMotion {pos: (948, 44), rel: (0, -1), buttons: (0, 0, 0)})>" 

