CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.421875 1560017295.8162
MEM 12.863281 1560017295.9162
MEM 20.757812 1560017296.0162
MEM 27.234375 1560017296.1162
MEM 32.324219 1560017296.2164
MEM 42.324219 1560017296.3164
MEM 48.281250 1560017296.4174
MEM 48.281250 1560017296.5184
MEM 48.281250 1560017296.6190
MEM 48.281250 1560017296.7200
MEM 48.281250 1560017296.8210
MEM 48.289062 1560017296.9220
MEM 48.683594 1560017297.0220
MEM 54.515625 1560017297.1230
MEM 61.734375 1560017297.2240
MEM 66.484375 1560017297.3248
MEM 71.335938 1560017297.4258
MEM 75.222656 1560017297.5268
MEM 76.273438 1560017297.6278
MEM 78.324219 1560017297.7281
MEM 76.937500 1560017297.8285
MEM 84.683594 1560017297.9285
MEM 85.230469 1560017298.0295
MEM 115.121094 1560017298.1295
MEM 145.140625 1560017298.2295
MEM 146.789062 1560017298.3306
MEM 148.042969 1560017298.4315
MEM 150.925781 1560017298.5325
MEM 151.445312 1560017298.6335
MEM 153.644531 1560017298.7335
MEM 155.148438 1560017298.8336
MEM 155.882812 1560017298.9345
MEM 156.101562 1560017299.0351
MEM 160.910156 1560017299.1356
MEM 163.230469 1560017299.2356
MEM 164.640625 1560017299.3366
MEM 166.335938 1560017299.4366
MEM 167.683594 1560017299.5376
MEM 169.121094 1560017299.6386
MEM 170.835938 1560017299.7386
MEM 171.125000 1560017299.8396
MEM 171.324219 1560017299.9406
MEM 173.277344 1560017300.0416
MEM 176.238281 1560017300.1416
MEM 177.351562 1560017300.2416
MEM 180.289062 1560017300.3426
MEM 181.281250 1560017300.4426
MEM 185.089844 1560017300.5426
MEM 194.910156 1560017300.6436
MEM 195.175781 1560017300.7436
MEM 189.800781 1560017300.8446
MEM 189.343750 1560017300.9446
MEM 189.687500 1560017301.0446
MEM 190.468750 1560017301.1446
MEM 191.679688 1560017301.2456
MEM 193.390625 1560017301.3456
MEM 193.964844 1560017301.4466
MEM 193.980469 1560017301.5476
MEM 194.585938 1560017301.6486
MEM 195.687500 1560017301.7496
MEM 196.613281 1560017301.8501
MEM 197.730469 1560017301.9501
MEM 198.921875 1560017302.0511
MEM 199.792969 1560017302.1511
MEM 200.003906 1560017302.2512
MEM 200.109375 1560017302.3521
MEM 200.343750 1560017302.4521
MEM 200.437500 1560017302.5521
MEM 201.003906 1560017302.6521
MEM 201.003906 1560017302.7530
MEM 201.261719 1560017302.8531
MEM 201.265625 1560017302.9540
MEM 201.703125 1560017303.0541
MEM 201.988281 1560017303.1542
MEM 210.074219 1560017303.2543
MEM 211.828125 1560017303.3547
MEM 203.015625 1560017303.4549
MEM 207.777344 1560017303.5549
MEM 212.785156 1560017303.6559
MEM 214.843750 1560017303.7559
MEM 218.042969 1560017303.8569
MEM 220.050781 1560017303.9575
MEM 221.214844 1560017304.0585
MEM 226.066406 1560017304.1595
MEM 230.824219 1560017304.2595
MEM 233.320312 1560017304.3595
MEM 233.691406 1560017304.4596
MEM 235.050781 1560017304.5604
MEM 239.273438 1560017304.6604
MEM 239.820312 1560017304.7614
MEM 245.105469 1560017304.8614
MEM 248.765625 1560017304.9614
MEM 249.886719 1560017305.0624
MEM 255.386719 1560017305.1624
MEM 258.937500 1560017305.2634
MEM 262.824219 1560017305.3634
MEM 237.261719 1560017305.4634
MEM 247.148438 1560017305.5634
MEM 253.328125 1560017305.6644
MEM 255.628906 1560017305.7644
MEM 262.742188 1560017305.8654
MEM 269.835938 1560017305.9663
