CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.535156 1560026860.5622
MEM 13.328125 1560026860.6622
MEM 20.882812 1560026860.7622
MEM 27.281250 1560026860.8622
MEM 32.507812 1560026860.9632
MEM 42.851562 1560026861.0632
MEM 48.277344 1560026861.1632
MEM 48.273438 1560026861.2632
MEM 48.273438 1560026861.3632
MEM 48.273438 1560026861.4632
MEM 48.281250 1560026861.5642
MEM 48.347656 1560026861.6652
MEM 50.480469 1560026861.7662
MEM 56.574219 1560026861.8662
MEM 63.023438 1560026861.9662
MEM 66.644531 1560026862.0672
MEM 72.546875 1560026862.1672
MEM 75.257812 1560026862.2682
MEM 76.324219 1560026862.3692
MEM 79.562500 1560026862.4692
MEM 76.859375 1560026862.5699
MEM 87.160156 1560026862.6700
MEM 89.371094 1560026862.7708
MEM 115.328125 1560026862.8713
MEM 163.781250 1560026862.9720
MEM 190.910156 1560026863.0727
MEM 203.265625 1560026863.1727
MEM 205.777344 1560026863.2727
MEM 206.628906 1560026863.3727
MEM 209.363281 1560026863.4737
MEM 210.718750 1560026863.5738
MEM 213.046875 1560026863.6747
MEM 215.093750 1560026863.7757
MEM 216.558594 1560026863.8757
MEM 216.734375 1560026863.9757
MEM 220.285156 1560026864.0760
MEM 224.152344 1560026864.1770
MEM 226.632812 1560026864.2780
MEM 231.839844 1560026864.3790
MEM 232.992188 1560026864.4800
MEM 237.753906 1560026864.5810
MEM 239.984375 1560026864.6820
MEM 241.289062 1560026864.7820
MEM 246.851562 1560026864.8820
MEM 249.632812 1560026864.9830
MEM 252.218750 1560026865.0830
MEM 252.222656 1560026865.1840
MEM 256.281250 1560026865.2850
MEM 256.582031 1560026865.3850
MEM 258.554688 1560026865.4852
MEM 260.718750 1560026865.5852
MEM 262.695312 1560026865.6852
MEM 264.296875 1560026865.7862
MEM 265.882812 1560026865.8862
MEM 266.570312 1560026865.9872
MEM 267.246094 1560026866.0875
MEM 269.304688 1560026866.1885
MEM 272.871094 1560026866.2890
MEM 275.593750 1560026866.3890
MEM 280.546875 1560026866.4890
MEM 291.695312 1560026866.5900
MEM 292.011719 1560026866.6910
MEM 296.414062 1560026866.7910
MEM 301.726562 1560026866.8911
MEM 300.785156 1560026866.9911
MEM 301.679688 1560026867.0920
MEM 304.046875 1560026867.1921
MEM 304.183594 1560026867.2930
MEM 307.757812 1560026867.3940
MEM 308.437500 1560026867.4940
MEM 308.441406 1560026867.5950
MEM 309.539062 1560026867.6951
MEM 310.996094 1560026867.7951
MEM 311.742188 1560026867.8951
MEM 312.906250 1560026867.9961
MEM 314.335938 1560026868.0961
MEM 314.960938 1560026868.1963
MEM 316.757812 1560026868.2963
MEM 319.066406 1560026868.3973
MEM 319.593750 1560026868.4979
MEM 321.734375 1560026868.5979
MEM 322.222656 1560026868.6980
MEM 322.656250 1560026868.7990
MEM 323.417969 1560026868.9000
MEM 324.925781 1560026869.0000
MEM 326.976562 1560026869.1009
MEM 327.687500 1560026869.2010
MEM 328.046875 1560026869.3020
MEM 328.921875 1560026869.4020
MEM 329.300781 1560026869.5020
MEM 330.429688 1560026869.6020
MEM 331.882812 1560026869.7030
MEM 332.796875 1560026869.8039
MEM 333.359375 1560026869.9039
MEM 333.457031 1560026870.0041
MEM 333.457031 1560026870.1051
MEM 333.457031 1560026870.2057
MEM 333.968750 1560026870.3067
MEM 334.492188 1560026870.4067
MEM 336.113281 1560026870.5068
MEM 336.910156 1560026870.6077
MEM 336.910156 1560026870.7077
MEM 336.914062 1560026870.8087
MEM 313.628906 1560026870.9097
MEM 324.988281 1560026871.0107
MEM 328.710938 1560026871.1107
MEM 329.066406 1560026871.2108
MEM 329.226562 1560026871.3118
MEM 334.023438 1560026871.4128
MEM 335.632812 1560026871.5137
MEM 335.636719 1560026871.6147
MEM 341.804688 1560026871.7148
MEM 336.808594 1560026871.8158
MEM 342.238281 1560026871.9167
MEM 349.093750 1560026872.0168
MEM 351.632812 1560026872.1178
MEM 355.402344 1560026872.2178
MEM 356.101562 1560026872.3187
MEM 357.480469 1560026872.4188
MEM 358.285156 1560026872.5198
MEM 362.347656 1560026872.6207
MEM 329.976562 1560026872.7208
MEM 333.285156 1560026872.8208
MEM 335.351562 1560026872.9218
MEM 336.738281 1560026873.0219
MEM 338.246094 1560026873.1219
MEM 344.664062 1560026873.2219
MEM 344.691406 1560026873.3229
MEM 345.691406 1560026873.4229
MEM 347.085938 1560026873.5239
MEM 353.472656 1560026873.6240
MEM 358.855469 1560026873.7249
MEM 368.628906 1560026873.8249
MEM 369.714844 1560026873.9259
MEM 377.332031 1560026874.0259
MEM 384.003906 1560026874.1259
MEM 390.187500 1560026874.2269
MEM 393.105469 1560026874.3279
MEM 396.667969 1560026874.4289
MEM 401.882812 1560026874.5289
MEM 404.496094 1560026874.6290
MEM 404.496094 1560026874.7299
MEM 364.632812 1560026874.8299
MEM 366.531250 1560026874.9309
MEM 372.132812 1560026875.0309
MEM 386.792969 1560026875.1310
MEM 391.519531 1560026875.2310
MEM 396.574219 1560026875.3319
MEM 400.187500 1560026875.4329
MEM 404.125000 1560026875.5329
MEM 405.957031 1560026875.6330
MEM 407.058594 1560026875.7339
MEM 407.058594 1560026875.8339
MEM 416.859375 1560026875.9339
MEM 423.871094 1560026876.0342
MEM 433.441406 1560026876.1352
MEM 442.679688 1560026876.2352
MEM 462.738281 1560026876.3352
MEM 484.367188 1560026876.4362
MEM 509.769531 1560026876.5362
MEM 504.542969 1560026876.6362
MEM 506.886719 1560026876.7372
MEM 508.648438 1560026876.8372
MEM 508.648438 1560026876.9372
MEM 509.750000 1560026877.0372
MEM 478.382812 1560026877.1372
MEM 479.640625 1560026877.2383
MEM 481.589844 1560026877.3392
MEM 483.289062 1560026877.4402
MEM 485.406250 1560026877.5412
MEM 486.523438 1560026877.6412
MEM 489.261719 1560026877.7422
MEM 490.972656 1560026877.8422
MEM 494.042969 1560026877.9422
MEM 494.660156 1560026878.0422
MEM 497.789062 1560026878.1422
MEM 497.839844 1560026878.2422
MEM 498.898438 1560026878.3432
MEM 501.796875 1560026878.4443
MEM 503.453125 1560026878.5452
MEM 506.566406 1560026878.6462
MEM 508.628906 1560026878.7472
MEM 511.480469 1560026878.8482
MEM 513.066406 1560026878.9482
MEM 515.597656 1560026879.0482
MEM 518.621094 1560026879.1485
MEM 520.464844 1560026879.2495
MEM 522.601562 1560026879.3496
MEM 524.625000 1560026879.4506
MEM 528.550781 1560026879.5516
MEM 537.894531 1560026879.6516
MEM 547.378906 1560026879.7526
MEM 551.273438 1560026879.8529
MEM 551.273438 1560026879.9535
MEM 551.273438 1560026880.0545
MEM 551.273438 1560026880.1545
MEM 551.273438 1560026880.2545
MEM 551.273438 1560026880.3556
MEM 551.273438 1560026880.4564
MEM 551.273438 1560026880.5564
MEM 551.273438 1560026880.6574
MEM 551.273438 1560026880.7574
MEM 551.277344 1560026880.8584
MEM 551.277344 1560026880.9594
MEM 551.281250 1560026881.0600
MEM 551.281250 1560026881.1606
MEM 551.281250 1560026881.2607
MEM 551.289062 1560026881.3617
MEM 551.289062 1560026881.4617
MEM 551.296875 1560026881.5627
MEM 551.300781 1560026881.6637
MEM 551.304688 1560026881.7637
MEM 551.308594 1560026881.8642
MEM 551.312500 1560026881.9642
MEM 551.316406 1560026882.0647
MEM 551.320312 1560026882.1647
MEM 551.324219 1560026882.2648
MEM 551.324219 1560026882.3658
MEM 551.324219 1560026882.4668
MEM 551.332031 1560026882.5678
MEM 551.332031 1560026882.6678
MEM 551.332031 1560026882.7688
MEM 551.332031 1560026882.8688
MEM 551.335938 1560026882.9698
MEM 551.335938 1560026883.0708
MEM 551.339844 1560026883.1710
MEM 551.402344 1560026883.2720
MEM 551.402344 1560026883.3730
MEM 551.402344 1560026883.4740
MEM 551.402344 1560026883.5740
MEM 551.402344 1560026883.6750
MEM 552.160156 1560026883.7760
MEM 554.593750 1560026883.8760
MEM 554.593750 1560026883.9770
MEM 554.593750 1560026884.0780
MEM 554.593750 1560026884.1780
MEM 554.593750 1560026884.2781
MEM 554.593750 1560026884.3790
MEM 554.617188 1560026884.4790
MEM 554.617188 1560026884.5798
MEM 554.617188 1560026884.6798
MEM 554.617188 1560026884.7799
MEM 554.617188 1560026884.8799
MEM 554.617188 1560026884.9809
MEM 554.617188 1560026885.0809
MEM 554.617188 1560026885.1810
MEM 554.617188 1560026885.2820
MEM 554.617188 1560026885.3820
MEM 563.777344 1560026885.4821
MEM 573.203125 1560026885.5821
MEM 579.562500 1560026885.6822
MEM 579.562500 1560026885.7832
MEM 579.562500 1560026885.8833
MEM 579.562500 1560026885.9843
MEM 579.562500 1560026886.0843
MEM 579.562500 1560026886.1853
MEM 580.378906 1560026886.2863
MEM 580.378906 1560026886.3863
MEM 580.378906 1560026886.4863
MEM 580.378906 1560026886.5873
MEM 580.378906 1560026886.6874
MEM 580.378906 1560026886.7874
MEM 580.382812 1560026886.8884
MEM 580.382812 1560026886.9893
MEM 580.382812 1560026887.0894
MEM 580.382812 1560026887.1894
MEM 580.382812 1560026887.2896
MEM 580.382812 1560026887.3896
MEM 580.386719 1560026887.4906
MEM 580.386719 1560026887.5906
MEM 580.386719 1560026887.6909
MEM 580.386719 1560026887.7915
MEM 580.386719 1560026887.8925
MEM 580.386719 1560026887.9925
MEM 596.222656 1560026888.0925
MEM 587.734375 1560026888.1925
