CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.464844 1560018564.7984
MEM 13.246094 1560018564.8985
MEM 21.039062 1560018564.9985
MEM 27.269531 1560018565.0992
MEM 32.320312 1560018565.2001
MEM 41.738281 1560018565.3001
MEM 48.277344 1560018565.4001
MEM 48.265625 1560018565.5002
MEM 48.265625 1560018565.6011
MEM 48.265625 1560018565.7021
MEM 48.265625 1560018565.8031
MEM 48.273438 1560018565.9032
MEM 48.199219 1560018566.0032
MEM 53.300781 1560018566.1041
MEM 61.718750 1560018566.2051
MEM 66.445312 1560018566.3061
MEM 72.558594 1560018566.4061
MEM 76.210938 1560018566.5062
MEM 76.332031 1560018566.6072
MEM 76.730469 1560018566.7074
MEM 76.914062 1560018566.8079
MEM 81.917969 1560018566.9089
MEM 83.890625 1560018567.0089
MEM 94.761719 1560018567.1089
MEM 113.726562 1560018567.2099
MEM 114.855469 1560018567.3099
MEM 115.496094 1560018567.4109
MEM 117.253906 1560018567.5109
MEM 119.046875 1560018567.6119
MEM 120.039062 1560018567.7119
MEM 120.625000 1560018567.8129
MEM 122.281250 1560018567.9129
MEM 122.882812 1560018568.0129
MEM 126.304688 1560018568.1129
MEM 126.066406 1560018568.2139
MEM 128.074219 1560018568.3146
MEM 128.078125 1560018568.4146
MEM 128.761719 1560018568.5149
MEM 130.816406 1560018568.6149
MEM 131.039062 1560018568.7149
MEM 133.296875 1560018568.8153
MEM 134.515625 1560018568.9153
MEM 147.488281 1560018569.0163
MEM 157.929688 1560018569.1163
MEM 141.601562 1560018569.2163
MEM 141.984375 1560018569.3163
MEM 142.425781 1560018569.4173
MEM 144.839844 1560018569.5175
MEM 144.195312 1560018569.6175
MEM 145.132812 1560018569.7185
MEM 146.246094 1560018569.8185
MEM 147.019531 1560018569.9195
MEM 147.839844 1560018570.0205
MEM 148.125000 1560018570.1205
MEM 149.089844 1560018570.2205
MEM 149.175781 1560018570.3205
MEM 149.355469 1560018570.4215
MEM 149.386719 1560018570.5225
MEM 149.683594 1560018570.6225
MEM 150.000000 1560018570.7225
MEM 150.039062 1560018570.8226
MEM 150.218750 1560018570.9236
MEM 150.785156 1560018571.0246
MEM 150.792969 1560018571.1246
MEM 150.800781 1560018571.2246
MEM 161.792969 1560018571.3246
MEM 151.777344 1560018571.4256
MEM 153.703125 1560018571.5256
MEM 158.000000 1560018571.6266
MEM 159.863281 1560018571.7266
MEM 162.910156 1560018571.8266
MEM 166.492188 1560018571.9266
MEM 168.480469 1560018572.0276
MEM 170.652344 1560018572.1276
MEM 170.738281 1560018572.2279
MEM 174.953125 1560018572.3289
MEM 176.109375 1560018572.4295
MEM 181.039062 1560018572.5304
MEM 186.542969 1560018572.6304
MEM 189.613281 1560018572.7306
MEM 193.949219 1560018572.8306
MEM 194.750000 1560018572.9316
MEM 197.136719 1560018573.0316
MEM 197.140625 1560018573.1326
MEM 195.078125 1560018573.2326
MEM 198.960938 1560018573.3327
MEM 202.613281 1560018573.4337
MEM 200.000000 1560018573.5343
MEM 200.769531 1560018573.6343
MEM 203.109375 1560018573.7343
MEM 201.652344 1560018573.8353
MEM 202.031250 1560018573.9353
MEM 202.031250 1560018574.0354
MEM 202.738281 1560018574.1363
MEM 225.636719 1560018574.2373
MEM 227.007812 1560018574.3374
MEM 227.894531 1560018574.4384
MEM 229.539062 1560018574.5384
MEM 230.894531 1560018574.6394
MEM 232.582031 1560018574.7403
MEM 234.800781 1560018574.8403
MEM 236.097656 1560018574.9404
MEM 237.382812 1560018575.0404
MEM 239.007812 1560018575.1405
MEM 239.824219 1560018575.2415
MEM 241.511719 1560018575.3424
MEM 242.785156 1560018575.4424
MEM 244.132812 1560018575.5430
MEM 247.707031 1560018575.6430
MEM 256.746094 1560018575.7431
MEM 266.285156 1560018575.8431
MEM 269.976562 1560018575.9440
MEM 269.980469 1560018576.0443
MEM 269.984375 1560018576.1447
MEM 269.984375 1560018576.2451
MEM 269.984375 1560018576.3461
MEM 269.988281 1560018576.4470
MEM 269.992188 1560018576.5477
MEM 269.992188 1560018576.6484
MEM 270.000000 1560018576.7485
