CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37\python.exe .\main.py
MEM 0.421875 1560027122.5857
MEM 11.761719 1560027122.6857
MEM 18.750000 1560027122.7867
MEM 24.937500 1560027122.8867
MEM 28.433594 1560027122.9867
MEM 32.539062 1560027123.0867
MEM 38.410156 1560027123.1877
MEM 43.367188 1560027123.2887
MEM 47.875000 1560027123.3897
MEM 47.875000 1560027123.4897
MEM 47.875000 1560027123.5897
MEM 47.875000 1560027123.6897
MEM 47.875000 1560027123.7907
MEM 47.882812 1560027123.8907
MEM 46.941406 1560027123.9917
MEM 51.203125 1560027124.0917
MEM 57.488281 1560027124.1917
MEM 63.023438 1560027124.2927
MEM 66.496094 1560027124.3927
MEM 69.394531 1560027124.4927
MEM 74.996094 1560027124.5937
MEM 76.328125 1560027124.6937
MEM 77.535156 1560027124.7938
MEM 76.957031 1560027124.8938
MEM 87.277344 1560027124.9948
MEM 89.132812 1560027125.0957
MEM 105.339844 1560027125.1957
MEM 152.585938 1560027125.2958
MEM 180.886719 1560027125.3968
MEM 186.765625 1560027125.4978
MEM 190.558594 1560027125.5988
MEM 190.558594 1560027125.6998
MEM 192.386719 1560027125.8003
MEM 194.328125 1560027125.9009
MEM 194.527344 1560027126.0013
MEM 199.246094 1560027126.1013
MEM 201.023438 1560027126.2017
MEM 201.570312 1560027126.3019
MEM 205.347656 1560027126.4019
MEM 206.417969 1560027126.5019
MEM 210.238281 1560027126.6019
MEM 213.828125 1560027126.7019
MEM 218.140625 1560027126.8019
MEM 220.929688 1560027126.9020
MEM 223.621094 1560027127.0027
MEM 223.621094 1560027127.1032
MEM 225.929688 1560027127.2032
MEM 228.195312 1560027127.3032
MEM 229.148438 1560027127.4042
MEM 232.031250 1560027127.5042
MEM 234.812500 1560027127.6042
MEM 234.812500 1560027127.7052
MEM 235.710938 1560027127.8052
MEM 237.812500 1560027127.9052
MEM 238.558594 1560027128.0062
MEM 240.246094 1560027128.1072
MEM 241.582031 1560027128.2072
MEM 244.113281 1560027128.3082
MEM 248.550781 1560027128.4082
MEM 250.539062 1560027128.5088
MEM 253.617188 1560027128.6097
MEM 256.703125 1560027128.7097
MEM 256.796875 1560027128.8101
MEM 256.796875 1560027128.9111
MEM 260.832031 1560027129.0121
MEM 261.027344 1560027129.1121
MEM 262.554688 1560027129.2131
MEM 274.121094 1560027129.3141
MEM 276.234375 1560027129.4141
MEM 270.703125 1560027129.5151
MEM 272.804688 1560027129.6161
MEM 274.609375 1560027129.7161
MEM 275.285156 1560027129.8171
MEM 277.703125 1560027129.9171
MEM 279.238281 1560027130.0171
MEM 281.324219 1560027130.1181
MEM 281.500000 1560027130.2181
MEM 282.984375 1560027130.3182
MEM 284.414062 1560027130.4191
MEM 286.101562 1560027130.5191
MEM 288.109375 1560027130.6201
MEM 287.933594 1560027130.7201
MEM 287.933594 1560027130.8211
MEM 290.394531 1560027130.9213
MEM 292.175781 1560027131.0223
MEM 292.179688 1560027131.1223
MEM 293.062500 1560027131.2233
MEM 296.964844 1560027131.3233
MEM 295.726562 1560027131.4243
MEM 297.421875 1560027131.5249
MEM 299.085938 1560027131.6249
MEM 299.878906 1560027131.7259
MEM 299.878906 1560027131.8269
MEM 301.054688 1560027131.9279
MEM 301.933594 1560027132.0281
MEM 301.933594 1560027132.1291
MEM 302.710938 1560027132.2292
MEM 302.710938 1560027132.3302
MEM 303.132812 1560027132.4311
MEM 304.027344 1560027132.5311
MEM 304.500000 1560027132.6313
MEM 304.699219 1560027132.7313
MEM 305.667969 1560027132.8314
MEM 306.167969 1560027132.9324
MEM 306.542969 1560027133.0324
MEM 307.226562 1560027133.1334
MEM 277.937500 1560027133.2334
MEM 289.128906 1560027133.3344
MEM 292.632812 1560027133.4344
MEM 292.890625 1560027133.5344
MEM 292.980469 1560027133.6344
MEM 288.992188 1560027133.7354
MEM 293.050781 1560027133.8364
MEM 295.089844 1560027133.9364
MEM 302.207031 1560027134.0364
MEM 304.921875 1560027134.1374
MEM 306.128906 1560027134.2375
MEM 308.515625 1560027134.3384
MEM 311.191406 1560027134.4394
MEM 311.746094 1560027134.5394
MEM 316.363281 1560027134.6395
MEM 321.406250 1560027134.7404
MEM 323.656250 1560027134.8414
MEM 324.347656 1560027134.9415
MEM 327.246094 1560027135.0425
MEM 294.691406 1560027135.1435
MEM 297.960938 1560027135.2444
MEM 298.093750 1560027135.3445
MEM 300.867188 1560027135.4454
MEM 303.191406 1560027135.5465
MEM 303.191406 1560027135.6474
MEM 306.089844 1560027135.7475
MEM 306.132812 1560027135.8484
MEM 306.164062 1560027135.9484
MEM 307.203125 1560027136.0495
MEM 309.519531 1560027136.1505
MEM 314.753906 1560027136.2515
MEM 316.839844 1560027136.3520
MEM 319.906250 1560027136.4520
MEM 327.503906 1560027136.5530
MEM 333.695312 1560027136.6530
MEM 335.511719 1560027136.7530
MEM 340.898438 1560027136.8530
MEM 343.042969 1560027136.9540
MEM 346.453125 1560027137.0546
MEM 351.582031 1560027137.1546
MEM 310.105469 1560027137.2556
MEM 317.531250 1560027137.3566
MEM 317.109375 1560027137.4566
MEM 321.730469 1560027137.5576
MEM 322.718750 1560027137.6576
MEM 328.886719 1560027137.7576
MEM 331.183594 1560027137.8586
MEM 339.996094 1560027137.9586
MEM 349.941406 1560027138.0586
MEM 350.800781 1560027138.1596
MEM 355.562500 1560027138.2596
MEM 358.812500 1560027138.3597
MEM 361.234375 1560027138.4606
MEM 363.007812 1560027138.5606
MEM 364.750000 1560027138.6616
MEM 372.617188 1560027138.7616
MEM 378.550781 1560027138.8616
MEM 376.558594 1560027138.9626
MEM 378.910156 1560027139.0636
MEM 381.550781 1560027139.1637
MEM 385.484375 1560027139.2646
MEM 388.582031 1560027139.3646
MEM 392.621094 1560027139.4646
MEM 415.492188 1560027139.5646
MEM 475.640625 1560027139.6646
MEM 479.300781 1560027139.7646
MEM 481.480469 1560027139.8657
MEM 482.402344 1560027139.9667
MEM 483.488281 1560027140.0667
MEM 483.964844 1560027140.1669
MEM 485.824219 1560027140.2675
MEM 485.824219 1560027140.3685
MEM 488.917969 1560027140.4686
MEM 455.800781 1560027140.5686
MEM 458.964844 1560027140.6696
MEM 459.519531 1560027140.7696
MEM 462.519531 1560027140.8706
MEM 463.089844 1560027140.9706
MEM 467.945312 1560027141.0716
MEM 468.562500 1560027141.1726
MEM 469.804688 1560027141.2736
MEM 472.421875 1560027141.3746
MEM 472.421875 1560027141.4756
MEM 472.421875 1560027141.5766
MEM 475.816406 1560027141.6766
MEM 477.472656 1560027141.7766
MEM 481.503906 1560027141.8766
MEM 482.789062 1560027141.9776
MEM 483.593750 1560027142.0786
MEM 486.765625 1560027142.1786
MEM 488.367188 1560027142.2795
MEM 491.308594 1560027142.3805
MEM 492.996094 1560027142.4805
MEM 496.375000 1560027142.5806
MEM 498.500000 1560027142.6806
MEM 500.703125 1560027142.7816
MEM 502.253906 1560027142.8816
MEM 510.984375 1560027142.9826
MEM 520.078125 1560027143.0836
MEM 527.812500 1560027143.1846
MEM 527.812500 1560027143.2846
MEM 527.816406 1560027143.3846
MEM 527.820312 1560027143.4856
MEM 527.820312 1560027143.5866
MEM 527.820312 1560027143.6876
MEM 527.820312 1560027143.7885
MEM 527.820312 1560027143.8886
MEM 527.820312 1560027143.9886
MEM 527.820312 1560027144.0896
MEM 527.820312 1560027144.1896
MEM 527.820312 1560027144.2906
MEM 527.820312 1560027144.3906
MEM 527.820312 1560027144.4906
MEM 527.820312 1560027144.5906
MEM 527.820312 1560027144.6916
MEM 527.820312 1560027144.7926
MEM 527.820312 1560027144.8935
MEM 527.820312 1560027144.9936
MEM 527.820312 1560027145.0936
MEM 527.820312 1560027145.1946
MEM 527.820312 1560027145.2946
MEM 527.820312 1560027145.3946
MEM 527.820312 1560027145.4946
MEM 527.820312 1560027145.5955
MEM 527.820312 1560027145.6965
MEM 527.820312 1560027145.7966
MEM 527.820312 1560027145.8966
MEM 527.820312 1560027145.9966
MEM 527.820312 1560027146.0966
MEM 527.820312 1560027146.1975
MEM 527.820312 1560027146.2976
MEM 527.820312 1560027146.3976
MEM 527.820312 1560027146.4985
MEM 527.820312 1560027146.5986
MEM 527.820312 1560027146.6986
MEM 527.824219 1560027146.7995
MEM 527.824219 1560027146.8996
MEM 527.824219 1560027146.9996
MEM 527.824219 1560027147.1002
MEM 527.824219 1560027147.2004
MEM 527.824219 1560027147.3009
MEM 527.824219 1560027147.4018
MEM 527.824219 1560027147.5019
MEM 527.824219 1560027147.6019
MEM 527.824219 1560027147.7029
MEM 527.824219 1560027147.8029
MEM 527.824219 1560027147.9039
MEM 527.824219 1560027148.0039
MEM 527.824219 1560027148.1048
MEM 528.324219 1560027148.2048
MEM 528.367188 1560027148.3049
MEM 528.375000 1560027148.4059
MEM 528.375000 1560027148.5060
MEM 528.375000 1560027148.6065
MEM 528.375000 1560027148.7066
MEM 528.375000 1560027148.8066
MEM 528.375000 1560027148.9076
MEM 528.375000 1560027149.0086
MEM 528.375000 1560027149.1095
MEM 528.375000 1560027149.2096
MEM 528.437500 1560027149.3096
MEM 528.437500 1560027149.4096
MEM 528.437500 1560027149.5096
MEM 528.437500 1560027149.6099
MEM 528.437500 1560027149.7109
MEM 528.437500 1560027149.8110
MEM 528.480469 1560027149.9119
MEM 528.480469 1560027150.0129
MEM 528.480469 1560027150.1134
MEM 528.480469 1560027150.2135
MEM 528.472656 1560027150.3144
MEM 528.472656 1560027150.4151
MEM 528.472656 1560027150.5162
MEM 528.472656 1560027150.6165
MEM 528.472656 1560027150.7174
MEM 528.472656 1560027150.8174
MEM 528.472656 1560027150.9185
MEM 528.472656 1560027151.0185
MEM 528.472656 1560027151.1194
MEM 528.472656 1560027151.2194
MEM 528.472656 1560027151.3195
MEM 528.476562 1560027151.4204
MEM 528.476562 1560027151.5204
MEM 528.476562 1560027151.6205
MEM 528.476562 1560027151.7215
MEM 528.476562 1560027151.8215
MEM 528.476562 1560027151.9224
MEM 528.476562 1560027152.0225
MEM 528.476562 1560027152.1225
MEM 528.476562 1560027152.2234
MEM 528.476562 1560027152.3234
MEM 531.523438 1560027152.4244
MEM 531.523438 1560027152.5245
MEM 531.523438 1560027152.6245
MEM 531.523438 1560027152.7255
MEM 531.523438 1560027152.8264
MEM 531.523438 1560027152.9265
MEM 531.523438 1560027153.0275
MEM 531.523438 1560027153.1285
MEM 531.523438 1560027153.2294
MEM 531.523438 1560027153.3294
MEM 531.523438 1560027153.4304
MEM 531.523438 1560027153.5305
MEM 531.523438 1560027153.6315
MEM 531.523438 1560027153.7315
MEM 531.546875 1560027153.8325
MEM 531.546875 1560027153.9334
MEM 531.546875 1560027154.0335
MEM 531.546875 1560027154.1345
MEM 538.667969 1560027154.2355
MEM 547.882812 1560027154.3355
MEM 576.292969 1560027154.4361
MEM 556.472656 1560027154.5371
MEM 556.472656 1560027154.6378
MEM 556.472656 1560027154.7384
MEM 556.472656 1560027154.8385
MEM 557.812500 1560027154.9395
MEM 557.449219 1560027155.0395
MEM 557.449219 1560027155.1395
MEM 557.449219 1560027155.2406
MEM 557.449219 1560027155.3415
MEM 557.449219 1560027155.4425
MEM 557.453125 1560027155.5435
MEM 557.453125 1560027155.6437
MEM 557.453125 1560027155.7438
MEM 557.453125 1560027155.8438
MEM 557.453125 1560027155.9438
MEM 557.453125 1560027156.0448
MEM 557.453125 1560027156.1458
MEM 557.453125 1560027156.2458
MEM 557.453125 1560027156.3468
MEM 557.453125 1560027156.4478
MEM 557.453125 1560027156.5478
MEM 557.453125 1560027156.6478
MEM 557.453125 1560027156.7488
MEM 557.453125 1560027156.8498
MEM 557.453125 1560027156.9499
MEM 557.453125 1560027157.0502
MEM 557.453125 1560027157.1502
MEM 557.453125 1560027157.2512
MEM 557.453125 1560027157.3512
MEM 557.453125 1560027157.4512
MEM 557.453125 1560027157.5522
MEM 557.453125 1560027157.6522
MEM 557.453125 1560027157.7522
MEM 557.453125 1560027157.8532
MEM 557.453125 1560027157.9532
MEM 557.453125 1560027158.0533
MEM 557.453125 1560027158.1542
MEM 557.453125 1560027158.2542
MEM 557.453125 1560027158.3552
MEM 557.453125 1560027158.4562
MEM 557.453125 1560027158.5563
MEM 557.453125 1560027158.6563
MEM 557.453125 1560027158.7573
MEM 557.453125 1560027158.8573
MEM 557.453125 1560027158.9574
MEM 557.453125 1560027159.0574
MEM 557.453125 1560027159.1581
MEM 557.453125 1560027159.2591
MEM 557.453125 1560027159.3601
MEM 557.453125 1560027159.4601
MEM 557.453125 1560027159.5601
MEM 557.453125 1560027159.6613
MEM 557.453125 1560027159.7621
MEM 557.453125 1560027159.8631
MEM 557.453125 1560027159.9640
MEM 557.453125 1560027160.0641
MEM 557.453125 1560027160.1651
MEM 557.453125 1560027160.2662
MEM 557.453125 1560027160.3672
MEM 557.453125 1560027160.4682
MEM 557.453125 1560027160.5692
MEM 557.453125 1560027160.6702
MEM 557.453125 1560027160.7702
MEM 557.453125 1560027160.8712
MEM 557.453125 1560027160.9712
MEM 557.453125 1560027161.0721
MEM 557.453125 1560027161.1722
MEM 557.453125 1560027161.2724
MEM 557.453125 1560027161.3732
MEM 557.453125 1560027161.4741
MEM 557.453125 1560027161.5741
MEM 557.453125 1560027161.6742
MEM 557.453125 1560027161.7742
MEM 557.453125 1560027161.8751
MEM 557.453125 1560027161.9751
MEM 557.453125 1560027162.0752
MEM 557.453125 1560027162.1752
MEM 557.453125 1560027162.2762
MEM 557.453125 1560027162.3763
MEM 557.453125 1560027162.4773
MEM 557.453125 1560027162.5783
MEM 557.453125 1560027162.6783
MEM 557.453125 1560027162.7783
MEM 557.453125 1560027162.8793
MEM 557.453125 1560027162.9803
MEM 557.453125 1560027163.0803
MEM 557.453125 1560027163.1803
MEM 557.453125 1560027163.2812
MEM 573.281250 1560027163.3822
MEM 526.062500 1560027163.4823
MEM 563.289062 1560027163.5823
MEM 588.773438 1560027163.6833
MEM 585.640625 1560027163.7833
MEM 589.132812 1560027163.8833
MEM 596.933594 1560027163.9842
MEM 613.660156 1560027164.0851
MEM 624.226562 1560027164.1851
MEM 632.003906 1560027164.2852
MEM 635.699219 1560027164.3862
MEM 631.273438 1560027164.4872
MEM 642.621094 1560027164.5881
MEM 641.527344 1560027164.6891
MEM 643.703125 1560027164.7891
MEM 646.484375 1560027164.8902
MEM 647.203125 1560027164.9911
MEM 647.253906 1560027165.0912
MEM 648.707031 1560027165.1912
MEM 649.636719 1560027165.2912
MEM 649.921875 1560027165.3922
MEM 650.160156 1560027165.4922
MEM 623.832031 1560027165.5923
MEM 627.222656 1560027165.6933
MEM 627.222656 1560027165.7933
MEM 627.914062 1560027165.8943
MEM 629.140625 1560027165.9953
MEM 629.445312 1560027166.0963
MEM 629.750000 1560027166.1963
MEM 630.066406 1560027166.2963
MEM 630.437500 1560027166.3973
MEM 630.648438 1560027166.4973
MEM 631.125000 1560027166.5975
MEM 631.457031 1560027166.6985
MEM 631.734375 1560027166.7985
MEM 632.117188 1560027166.8994
MEM 632.523438 1560027166.9995
MEM 632.835938 1560027167.0998
MEM 633.242188 1560027167.2007
MEM 633.558594 1560027167.3008
MEM 633.859375 1560027167.4018
MEM 634.371094 1560027167.5027
MEM 634.781250 1560027167.6027
MEM 635.316406 1560027167.7037
MEM 635.855469 1560027167.8047
MEM 636.234375 1560027167.9057
MEM 636.632812 1560027168.0067
MEM 637.105469 1560027168.1068
MEM 637.734375 1560027168.2073
MEM 638.347656 1560027168.3073
MEM 638.343750 1560027168.4093
MEM 641.339844 1560027168.5103
